Mode,Status,Work,Block,Task,Subtask,Timer,Time
0,0,0,1,Productivity tracker,Display different Categories,0:00:00,00:44:00
1,0,1,1,Productivity tracker,Display different Categories,0:00:00,08:49:26
1,1,1,1,Productivity tracker,Display different Categories,0:00:00,08:49:28
1,0,1,1,Productivity tracker,Display different Categories,0:01:39,08:51:07
1,1,1,1,Productivity tracker,Display different Categories,0:01:39,08:51:07
1,0,1,1,Productivity tracker,Display different Categories,0:02:53,08:52:21
1,1,1,1,Productivity tracker,Display different Categories,0:02:53,08:52:25
1,0,1,1,Productivity tracker,Display different Categories,0:06:04,08:55:36
1,1,1,1,Productivity tracker,Display different Categories,0:06:04,08:55:50
1,0,1,1,Productivity tracker,Display different Categories,0:15:43,09:05:30
1,1,1,1,Productivity tracker,Display different Categories,0:15:43,09:05:33
1,0,1,1,Productivity tracker,Display different Categories,0:15:48,09:05:38
1,1,1,1,Productivity tracker,Display different Categories,0:15:48,09:06:05
1,0,1,1,Productivity tracker,Display different Categories,0:18:38,09:08:55
1,1,1,1,Productivity tracker,Display different Categories,0:18:38,09:08:57
1,0,1,1,Productivity tracker,Display different Categories,0:43:54,09:34:12
1,1,1,1,Productivity tracker,Display different Categories,0:43:54,09:34:13
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:35:19
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:40:25
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:41:00
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:41:07
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:41:08
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:41:12
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:41:14
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:41:16
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:44:01
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:44:03
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:45:25
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:45:27
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:45:38
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:45:41
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:45:42
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:45:44
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:46:45
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:46:47
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:48:37
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:48:39
1,1,0,2,Productivity tracker,Display different Categories,0:00:00,09:49:58
1,0,0,2,Productivity tracker,Display different Categories,0:00:00,09:50:00
1,0,1,2,Productivity tracker,Display different Categories,0:00:00,09:50:19
1,1,1,2,Productivity tracker,Display different Categories,0:00:00,09:50:20
1,0,1,2,Productivity tracker,Display different Categories,0:00:02,09:50:22
1,1,1,2,Productivity tracker,Display different Categories,0:00:02,10:04:01
1,0,1,2,Productivity tracker,Display different Categories,0:00:04,10:04:03
1,1,1,2,Productivity tracker,Display different Categories,0:00:04,10:04:39
1,0,1,2,Productivity tracker,Display different Categories,0:00:06,10:04:42
1,1,1,2,Productivity tracker,Display different Categories,0:00:06,10:05:41
1,0,1,2,Productivity tracker,Display different Categories,0:00:09,10:05:44
1,1,1,2,Productivity tracker,Display different Categories,0:00:09,10:05:44
1,0,1,2,Productivity tracker,Display different Categories,0:00:14,10:05:49
1,1,1,2,Productivity tracker,Display different Categories,0:00:14,10:05:56
1,0,1,2,Productivity tracker,Display different Categories,0:00:16,10:05:58
1,1,1,2,Productivity tracker,Display different Categories,0:00:16,10:06:00
1,0,1,2,Productivity tracker,Display different Categories,0:00:20,10:06:04
1,1,1,2,Productivity tracker,Display different Categories,0:00:20,10:06:04
1,0,1,2,Productivity tracker,Display different Categories,0:11:58,10:17:42
1,1,1,2,Productivity tracker,Display different Categories,0:11:58,10:17:43
1,0,1,2,Productivity tracker,Display different Categories,0:29:37,10:35:22
1,1,1,2,Productivity tracker,Display different Categories,0:29:37,10:35:24
1,0,1,2,Productivity tracker,Display different Categories,0:33:42,10:39:28
0,0,1,2,Productivity tracker,Display different Categories,0:33:42,10:40:41
0,1,1,2,Productivity tracker,Display different Categories,0:33:42,10:47:57
0,0,1,2,Productivity tracker,Display different Categories,0:33:42,10:48:00
0,1,1,2,Productivity tracker,Display different Categories,0:33:42,10:48:09
1,1,1,2,Productivity tracker,Display different Categories,0:33:42,10:54:18
1,0,1,2,Productivity tracker,Display different Categories,0:35:19,10:55:56
1,1,1,2,Productivity tracker,Display different Categories,0:35:19,10:55:59
1,1,0,3,Productivity tracker,Display different Categories,0:00:00,11:05:40
1,0,0,3,Productivity tracker,Display different Categories,0:00:00,11:08:27
1,1,0,3,Productivity tracker,Display different Categories,0:00:00,11:08:28
1,0,0,3,Productivity tracker,Display different Categories,0:00:00,11:08:31
1,1,0,3,Productivity tracker,Display different Categories,0:00:00,11:08:34
1,0,0,3,Productivity tracker,Display different Categories,0:00:00,11:08:36
1,1,0,3,Productivity tracker,Display different Categories,0:00:00,11:08:42
1,0,0,3,Productivity tracker,Display different Categories,0:00:00,11:08:46
1,1,0,3,Productivity tracker,Display different Categories,0:00:00,11:19:47
1,1,1,3,Productivity tracker,Display different Categories,0:00:00,11:20:40
1,0,1,3,Productivity tracker,Display different Categories,0:00:24,11:21:04
1,1,1,3,Productivity tracker,Display different Categories,0:00:24,11:21:07
1,0,1,3,Productivity tracker,Display different Categories,0:00:31,11:21:14
1,1,1,3,Productivity tracker,Display different Categories,0:00:31,11:21:16
1,0,1,3,Productivity tracker,Display different Categories,0:00:41,11:21:26
1,1,1,3,Productivity tracker,Display different Categories,0:00:41,11:21:28
1,0,1,3,Productivity tracker,Display different Categories,0:00:45,11:21:32
1,1,1,3,Productivity tracker,Display different Categories,0:00:45,11:21:37
1,0,1,3,Productivity tracker,Display different Categories,0:07:20,11:28:12
1,1,1,3,Productivity tracker,Display different Categories,0:07:20,11:30:07
