Mode,Status,Timer,Time
1,0,0:00:00,15:48:04
1,1,0:00:00,15:48:05
0,1,0:00:15,15:48:20
1,1,0:00:15,15:48:23
1,0,0:00:19,15:48:27
1,1,0:00:19,15:48:29
1,0,0:00:00,18:56:48
1,0,0:00:00,18:57:44
0,0,0:00:00,18:58:05
1,0,0:00:00,19:01:08
1,0,0:00:00,19:24:13
1,1,0:00:00,19:24:15
1,0,0:00:12,19:24:27
1,1,0:00:12,19:24:38
0,1,0:00:14,19:24:40
1,1,0:00:14,19:24:56
1,0,0:00:22,19:25:04
1,1,0:00:22,19:25:05
1,0,0:00:00,23:12:12
1,1,0:00:00,23:12:14
0,1,0:00:23,23:12:37
1,1,0:00:23,23:12:38
0,1,0:00:32,23:12:47
1,1,0:00:32,23:12:48
1,0,0:00:00,23:14:18
1,0,0:00:00,23:14:45
1,1,0:00:00,23:14:46
0,1,0:00:08,23:14:55
1,1,0:00:08,23:14:57
1,1,0:00:11,23:15:00
1,0,0:00:00,23:17:01
1,1,0:00:00,23:17:03
0,1,0:00:04,23:17:07
1,1,0:00:04,23:17:10
1,1,0:00:05,23:17:12
