Mode,Status,Timer,Time
1,0,1,0:00:00,07:55:23
1,1,1,0:00:00,07:55:25
1,0,1,0:00:13,07:55:38
1,1,1,0:00:13,07:55:38
0,1,1,0:00:19,07:55:44
1,1,1,0:00:19,07:55:46
1,1,1,0:00:49,07:56:16
1,0,1,0:00:00,07:58:36
1,1,1,0:00:00,07:58:37
1,1,0,0:00:04,07:58:42
1,1,0,0:00:04,07:58:52
1,1,0,0:00:04,07:59:02
1,1,0,0:00:04,07:59:12
1,0,1,0:00:00,08:05:37
1,0,1,0:00:00,08:06:12
1,1,1,0:00:00,08:06:13
1,1,0,0:00:03,08:06:17
1,1,1,0:00:03,08:06:22
1,1,0,0:00:08,08:06:27
1,1,0,0:00:08,08:06:32
1,1,1,0:00:08,08:06:32
1,1,1,0:00:14,08:06:37
1,1,0,0:00:19,08:06:42
1,1,0,0:00:19,08:06:47
1,1,1,0:00:19,08:06:47
1,1,1,0:00:24,08:06:52
1,1,0,0:00:29,08:06:57
1,1,0,0:00:29,08:07:02
1,1,1,0:00:29,08:07:02
1,1,1,0:00:34,08:07:07
1,1,0,0:00:39,08:07:12
1,1,0,0:00:39,08:07:17
1,1,1,0:00:39,08:07:17
1,1,1,0:00:44,08:07:22
1,1,0,0:00:49,08:07:27
1,1,0,0:00:49,08:07:32
1,1,1,0:00:49,08:07:32
1,1,1,0:00:54,08:07:37
1,1,0,0:00:59,08:07:42
1,1,0,0:00:59,08:07:47
1,1,1,0:00:59,08:07:47
1,1,1,0:01:04,08:07:52
1,1,0,0:01:09,08:07:57
1,1,0,0:01:09,08:08:02
1,1,1,0:01:09,08:08:02
1,1,1,0:01:14,08:08:07
1,1,0,0:01:19,08:08:12
1,1,0,0:01:19,08:08:17
1,1,1,0:01:19,08:08:17
1,1,1,0:01:24,08:08:22
1,1,0,0:01:29,08:08:27
1,1,0,0:01:29,08:08:32
1,1,1,0:01:29,08:08:32
1,0,1,0:01:32,08:08:35
1,0,1,0:01:32,08:08:37
1,1,1,0:01:32,08:08:37
1,1,0,0:01:37,08:08:42
1,1,0,0:01:37,08:08:47
1,1,1,0:01:37,08:08:47
1,1,1,0:01:42,08:08:52
1,1,0,0:01:47,08:08:57
1,1,0,0:01:47,08:09:02
1,1,1,0:01:47,08:09:02
1,1,1,0:01:52,08:09:07
1,1,0,0:01:57,08:09:12
1,1,0,0:01:57,08:09:17
1,1,1,0:01:57,08:09:17
1,1,1,0:02:02,08:09:22
1,1,0,0:02:07,08:09:27
1,1,0,0:02:07,08:09:32
1,1,1,0:02:07,08:09:32
1,1,1,0:02:12,08:09:37
1,1,0,0:02:17,08:09:42
1,1,0,0:02:17,08:09:46
1,0,1,0:00:00,08:16:39
1,1,1,0:00:00,08:16:40
1,1,0,0:00:00,08:16:41
1,1,0,0:00:00,08:16:46
1,1,0,0:00:00,08:16:51
1,1,0,0:00:00,08:16:56
1,1,0,0:00:00,08:17:01
1,1,0,0:00:00,08:17:06
1,1,0,0:00:00,08:17:11
1,1,0,0:00:00,08:17:16
1,0,1,0:00:00,08:19:17
1,1,1,0:00:00,08:19:18
1,0,1,0:00:00,08:20:02
1,1,1,0:00:00,08:20:03
1,1,0,0:00:00,08:20:04
1,1,0,0:00:00,08:20:09
1,1,0,0:00:00,08:20:14
1,1,0,0:00:00,08:20:19
1,1,0,0:00:00,08:20:24
1,1,0,0:00:00,08:20:29
1,1,0,0:00:00,08:20:34
1,1,0,0:00:00,08:20:39
1,0,1,0:00:00,08:21:10
1,1,1,0:00:00,08:21:11
1,0,1,0:00:00,08:26:02
1,0,0,0:00:00,08:26:04
1,0,0,0:00:00,08:26:05
1,1,0,0:00:00,08:26:07
1,1,0,0:00:00,08:26:09
1,1,0,0:00:00,08:26:14
1,1,0,0:00:00,08:26:19
1,1,0,0:00:00,08:26:24
1,1,0,0:00:00,08:26:29
1,1,0,0:00:00,08:26:34
1,1,0,0:00:00,08:26:39
1,1,0,0:00:00,08:26:44
1,1,0,0:00:00,08:26:49
1,1,0,0:00:00,08:26:52
1,0,1,0:00:00,08:29:04
1,0,0,0:00:00,08:29:05
1,1,0,0:00:00,08:29:05
1,1,0,0:00:00,08:29:10
1,1,1,0:00:00,08:29:10
1,1,1,0:00:04,08:29:15
1,1,0,0:00:10,08:29:20
1,1,0,0:00:10,08:29:25
1,1,1,0:00:10,08:29:25
1,1,1,0:00:15,08:29:30
1,1,0,0:00:20,08:29:35
1,1,0,0:00:20,08:29:40
1,1,1,0:00:20,08:29:40
1,1,1,0:00:25,08:29:45
1,1,0,0:00:30,08:29:50
1,1,0,0:00:30,08:29:55
1,1,1,0:00:30,08:29:55
1,1,1,0:00:35,08:30:00
1,1,0,0:00:40,08:30:05
1,1,0,0:00:40,08:30:10
1,1,1,0:00:40,08:30:10
1,1,1,0:00:43,08:30:13
1,0,1,0:00:00,08:46:12
1,1,1,0:00:00,08:46:13
1,1,0,0:00:00,08:46:14
1,1,0,0:00:00,08:46:19
1,1,1,0:00:00,08:46:19
1,1,1,0:00:05,08:46:24
1,1,0,0:00:10,08:46:29
1,1,0,0:00:10,08:46:34
1,1,1,0:00:10,08:46:34
1,1,1,0:00:15,08:46:39
1,1,0,0:00:20,08:46:44
1,1,0,0:00:20,08:46:49
1,1,1,0:00:20,08:46:49
1,1,1,0:00:25,08:46:54
1,1,0,0:00:30,08:46:59
1,1,0,0:00:30,08:47:04
1,1,1,0:00:30,08:47:04
1,1,1,0:00:35,08:47:09
1,1,0,0:00:40,08:47:14
1,1,0,0:00:40,08:47:19
1,1,1,0:00:40,08:47:19
1,1,1,0:00:45,08:47:24
1,1,0,0:00:50,08:47:29
1,1,0,0:00:50,08:47:34
1,1,1,0:00:50,08:47:34
1,0,1,0:00:52,08:47:35
1,1,1,0:00:52,08:47:36
1,1,1,0:00:55,08:47:39
1,0,1,0:00:57,08:47:42
1,0,0,0:00:57,08:47:44
1,0,0,0:00:57,08:47:49
1,0,1,0:00:57,08:47:49
1,0,1,0:00:57,08:47:54
1,1,1,0:00:57,08:47:56
1,1,0,0:01:01,08:47:59
1,1,0,0:01:01,08:48:02
1,0,0,0:00:00,08:50:36
1,0,0,0:00:00,08:50:41
1,0,1,0:00:00,08:50:41
1,0,1,0:00:00,08:50:46
1,0,0,0:00:00,08:50:51
1,0,0,0:00:00,08:50:56
